-0.6856,-0.68168,-0.702,-0.6773,-0.67226,-0.67191,-0.66095,-0.67486,-0.6844,-0.67661
-0.59269,-0.53708,-0.52515,-0.5917,-0.52971,-0.53754,-0.62356,-0.59343,-0.48956,-0.50126
-0.52469,-0.48648,-0.44152,-0.50519,-0.45888,-0.48834,-0.52305,-0.53821,-0.42804,-0.44721
-0.6709,-0.67917,-0.66458,-0.67711,-0.6585,-0.72586,-0.66648,-0.69703,-0.70664,-0.66629
-0.56617,-0.59746,-0.54653,-0.54639,-0.49497,-0.59156,-0.59853,-0.53397,-0.57076,-0.55916
-0.53215,-0.54033,-0.46935,-0.49089,-0.45489,-0.53613,-0.52919,-0.45192,-0.51858,-0.53586
-0.67815,-0.65759,-0.60788,-0.59668,-0.65613,-0.62759,-0.62566,-0.66638,-0.65144,-0.65758
-0.56584,-0.53073,-0.49702,-0.48383,-0.50344,-0.53057,-0.54409,-0.49726,-0.49184,-0.57335
-0.48405,-0.51073,-0.43644,-0.42872,-0.45001,-0.49468,-0.47636,-0.53945,-0.43753,-0.52492
-0.69296,-0.67798,-0.6257,-0.64659,-0.68438,-0.65238,-0.6971,-0.67072,-0.68924,-0.61759
-0.54909,-0.56814,-0.52701,-0.55962,-0.50958,-0.46473,-0.56826,-0.50167,-0.48407,-0.52159
-0.50912,-0.50805,-0.44857,-0.43122,-0.4385,-0.41374,-0.49043,-0.42589,-0.419,-0.4416
-0.59315,-0.65807,-0.61885,-0.69275,-0.6211,-0.63443,-0.63384,-0.64943,-0.61073,-0.63977
-0.51901,-0.4631,-0.52646,-0.58431,-0.51803,-0.5118,-0.45604,-0.52617,-0.51169,-0.51199
-0.43061,-0.38371,-0.45877,-0.50028,-0.46546,-0.47614,-0.38239,-0.48415,-0.43739,-0.46882
-0.69834,-0.69394,-0.69315,-0.69299,-0.69315,-0.69315,-0.68936,-0.69315,-0.69143,-0.69232
-0.66326,-0.64256,-0.67004,-0.68818,-0.72881,-0.6844,-0.668,-0.65084,-0.65533,-0.66291
-0.62199,-0.62775,-0.64667,-0.65393,-0.69358,-0.69378,-0.62365,-0.62465,-0.64809,-0.63831
-0.68726,-0.68218,-0.70707,-0.68658,-0.70424,-0.70782,-0.64183,-0.67023,-0.65205,-0.67761
-0.5595,-0.58563,-0.62578,-0.61878,-0.65075,-0.60765,-0.61676,-0.61712,-0.60844,-0.62748
-0.52589,-0.5351,-0.6173,-0.54836,-0.6212,-0.55446,-0.58515,-0.57481,-0.54598,-0.58224
-0.68619,-0.69119,-0.69608,-0.69676,-0.68543,-0.69315,-0.69488,-0.69516,-0.69045,-0.68251
-0.53291,-0.53494,-0.59297,-0.5674,-0.56088,-0.58723,-0.658,-0.61533,-0.59695,-0.65448
-0.51305,-0.49445,-0.53071,-0.52318,-0.5807,-0.54896,-0.62115,-0.56274,-0.57585,-0.5441
